,,Names,,,Cover,,Writer,,Penciller,,Inker,,Colourist,,Letters,,Editor,,Asst. Ed.,
Issue,Male,Female,Total,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
,,,,,,,,,,,,,,,,,,,,
76,599,83,682,,157,11,88,9,110,2,123,2,76,12,80,8,55,21,46,20
75,537,86,623,,144,15,80,9,92,5,95,4,72,14,77,6,60,19,42,23
74,525,75,600,,130,11,78,6,91,2,105,1,73,12,69,6,56,20,41,24
72,564,78,642,,142,9,85,12,104,5,113,4,82,9,77,6,54,24,39,17
75,603,81,684,,150,26,94,8,104,2,107,1,76,8,75,6,58,20,55,14
68,519,58,577,,132,13,89,7,78,2,83,1,64,10,68,6,54,18,53,7
86,702,86,788,,165,17,115,11,117,6,129,4,92,12,93,7,66,29,64,12
77,626,66,692,,154,11,98,8,109,6,115,6,76,15,77,6,64,16,59,9
76,613,56,669,,136,8,98,5,108,3,114,2,73,11,76,7,61,15,57,9
93,849,81,930,,203,21,135,17,146,8,162,8,104,18,104,3,83,15,74,10
82,650,71,721,,138,14,109,15,113,8,115,5,83,12,79,4,71,13,64,10
93,759,84,843,,171,15,118,20,128,7,137,6,91,16,94,4,79,18,70,10
947,7546,905,8451,,1822,171,1187,127,1300,56,1398,44,962,149,969,69,761,228,664,165
,89.3,10.7,,,91.4,8.6,90.3,9.7,95.9,4.1,96.9,3.1,86.6,13.4,93.4,6.6,76.9,23.1,80.1,19.9
,,,,,1993,,1314,,1356,,1442,,1111,,1038,,989,,829,
,,,,,,,,,,,,,,,,,,,,
ALL,12.0,10.7,,,,,,,,,,,,,,,,,,
Cover,6.6,8.6,,,,,,,,,,,,,,,,,,
Writer,8.2,9.7,,,,,,,,,,,,,,,,,,
Pencils,2.8,4.1,,,,,,,,,,,,,,,,,,
Inks,2.7,3.1,,,,,,,,,,,,,,,,,,
Colors,13.4,13.4,,,,,,,,,,,,,,,,,,
Letters,8.1,6.6,,,,,,,,,,,,,,,,,,
Editor,21.3,23.1,,,,,,,,,,,,,,,,,,
Asst. Editor,37.1,19.9,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
