,,Names,,,Cover,,Writer,,Penciller,,Inker,,Colourist,,Letters,,Editor,,Asst. Ed.,
Issue,Male,Female,Total,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
,,,,,,,,,,,,,,,,,,,,
73,581,76,657,,153,17,87,2,90,6,102,7,77,19,77,0,59,22,47,16
66,513,70,583,,156,15,72,2,85,1,85,1,67,11,66,0,60,23,37,20
71,553,76,629,,178,18,80,3,84,3,92,3,63,19,72,0,67,20,41,19
77,659,77,726,,211,12,95,3,127,4,139,4,95,23,77,0,72,16,38,25
70,528,70,598,,160,12,68,5,85,3,96,2,67,13,71,0,68,16,34,26
75,545,74,619,,138,17,80,3,91,1,99,0,70,16,75,0,73,18,41,24
91,649,81,730,,182,16,105,4,104,3,114,2,84,20,92,0,81,24,48,23
76,546,59,605,,145,11,88,2,86,2,91,1,75,14,76,0,67,21,38,15
77,548,61,609,,145,11,84,4,90,2,104,1,68,17,77,0,66,20,43,12
83,669,81,750,,196,18,96,6,111,6,121,6,88,27,89,0,80,21,49,12
73,545,66,611,,161,17,80,5,86,2,90,4,68,17,76,0,70,22,43,8
74,575,56,631,,156,8,81,4,95,2,117,3,72,16,80,0,69,22,45,7
906,6911,847,7748,,1981,172,1016,43,1134,35,1250,34,894,212,928,0,832,245,504,207
,89.1,10.9,,,92.0,8.0,95.9,4.1,97.0,3.0,97.4,2.6,80.8,19.2,100.0,0.0,77.3,22.7,70.9,29.1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ALL,13.4,10.9,,,,,,,,,,,,,,,,,,
Cover,7.6,8.0,,,,,,,,,,,,,,,,,,
Writer,5.7,4.1,,,,,,,,,,,,,,,,,,
Pencils,2.7,3.0,,,,,,,,,,,,,,,,,,
Inks,2.2,2.6,,,,,,,,,,,,,,,,,,
Colors,17.7,19.2,,,,,,,,,,,,,,,,,,
Letters,0.0,0.0,,,,,,,,,,,,,,,,,,
Editor,35.2,22.7,,,,,,,,,,,,,,,,,,
Asst. Editor,37.8,29.1,,,,,,,,,,,,,,,,,,
