,,Names,,,Cover,,Writer,,Penciller,,Inker,,Colourist,,Letters,,Editor,,Asst. Ed.,
Issue,Male,Female,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
,,,,,,,,,,,,,,,,,,,,
jan,87.8,12.2,,,93.5,6.5,90.7,9.3,98.2,1.8,98.4,1.6,86.4,13.6,90.9,9.1,72.4,27.6,69.7,30.3
feb,86.2,13.8,,,90.6,9.4,89.9,10.1,94.8,5.2,96.0,4.0,83.7,16.3,92.8,7.2,75.9,24.1,64.6,35.4
march,87.5,12.5,,,92.2,7.8,92.9,7.1,97.8,2.2,99.1,0.9,85.9,14.1,92.0,8.0,73.7,26.3,63.1,36.9
April,87.9,12.1,,,94.0,6.0,87.6,12.4,95.4,4.6,96.6,3.4,90.1,9.9,92.8,7.2,69.2,30.8,69.6,30.4
May,88.2,11.8,,,85.2,14.8,92.2,7.8,98.1,1.9,99.1,0.9,90.5,9.5,92.6,7.4,74.4,25.6,79.7,20.3
June,89.9,10.1,,,91.0,9.0,92.7,7.3,97.5,2.5,98.8,1.2,86.5,13.5,91.9,8.1,75.0,25.0,88.3,11.7
July,89.1,10.9,,,90.7,9.3,91.3,8.7,95.1,4.9,97.0,3.0,88.5,11.5,93.0,7.0,69.5,30.5,84.2,15.8
August,90.5,9.5,,,93.3,6.7,92.5,7.5,94.8,5.2,95.0,5.0,83.5,16.5,92.8,7.2,80.0,20.0,86.8,13.2
September,91.6,8.4,,,94.4,5.6,95.1,4.9,97.3,2.7,98.3,1.7,86.9,13.1,91.6,8.4,80.3,19.7,86.4,13.6
October,91.3,8.7,,,90.6,9.4,88.8,11.2,94.8,5.2,95.3,4.7,85.2,14.8,97.2,2.8,84.7,15.3,88.1,11.9
November,90.2,9.8,,,90.8,9.2,87.9,12.1,93.4,6.6,95.8,4.2,87.4,12.6,95.2,4.8,84.5,15.5,86.5,13.5
December,90.0,10.0,,,91.9,8.1,85.5,14.5,94.8,5.2,95.8,4.2,85.0,15.0,95.9,4.1,81.4,18.6,87.5,12.5
,,21.64356618,,,,16.9490722,,18.82415683,,7.975757154,,5.812948905,,26.73611297,,13.57192577,,46.50173827,,40.91729901
