,,Names,,,Cover,,Writer,,Penciller,,Inker,,Colourist,,Letters,,Editor,,Asst. Ed.,
Issue,Male,Female,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
,,,,,,,,,,,,,,,,,,,,
jan,88.4,11.6,,,90.0,10.0,97.8,2.2,93.8,6.3,93.6,6.4,80.2,19.8,100.0,0.0,72.8,27.2,74.6,25.4
feb,88.0,12.0,,,91.2,8.8,97.3,2.7,98.8,1.2,98.8,1.2,85.9,14.1,100.0,0.0,72.3,27.7,64.9,35.1
march,87.9,12.1,,,90.8,9.2,96.4,3.6,96.6,3.4,96.8,3.2,76.8,23.2,100.0,0.0,77.0,23.0,68.3,31.7
April,89.5,10.5,,,94.6,5.4,96.9,3.1,96.9,3.1,97.2,2.8,80.5,19.5,100.0,0.0,81.8,18.2,60.3,39.7
May,88.3,11.7,,,93.0,7.0,93.2,6.8,96.6,3.4,98.0,2.0,83.8,16.3,100.0,0.0,81.0,19.0,56.7,43.3
June,88.0,12.0,,,89.0,11.0,96.4,3.6,98.9,1.1,100.0,0.0,81.4,18.6,100.0,0.0,80.2,19.8,63.1,36.9
July,88.9,11.1,,,91.9,8.1,96.3,3.7,97.2,2.8,98.3,1.7,80.8,19.2,100.0,0.0,77.1,22.9,67.6,32.4
August,90.2,9.8,,,92.9,7.1,97.8,2.2,97.7,2.3,98.9,1.1,84.3,15.7,100.0,0.0,76.1,23.9,71.7,28.3
September,90.0,10.0,,,92.9,7.1,95.5,4.5,97.8,2.2,99.0,1.0,80.0,20.0,100.0,0.0,76.7,23.3,78.2,21.8
October,89.2,10.8,,,91.6,8.4,94.1,5.9,94.9,5.1,95.3,4.7,76.5,23.5,100.0,0.0,79.2,20.8,80.3,19.7
November,89.2,10.8,,,90.4,9.6,94.1,5.9,97.7,2.3,95.7,4.3,80.0,20.0,100.0,0.0,76.1,23.9,84.3,15.7
December,91.1,8.9,,,95.1,4.9,95.3,4.7,97.9,2.1,97.5,2.5,81.8,18.2,100.0,0.0,75.8,24.2,86.5,13.5
,,21.85346913,,,,16.05074217,,8.166223118,,5.853952635,,5.137321152,,38.0053874,,0,,45.62117333,,57.23742337
,,,,,,,,,,,,,,,,,,,,
